序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000010,*ST美丽,2026-06-09,1家机构买入，成功率25.87%,2.43,5.1948,1284911.59,27495995.0,26211083.41,53707078.41,226328677.0,0.567719304081,23.729683362219,2.1108,2109585388.05,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
2,000411,英特集团,2026-06-09,主力做T，成功率27.04%,9.81,-9.8346,-32939112.65,28709740.98,61648853.63,90358594.61,228774586.0,-14.398064586597,39.496779860854,4.0327,5530249532.16,日跌幅偏离值达到7%的前5只证券,,,,
3,000517,荣安地产,2026-06-09,1家机构卖出，成功率27.22%,2.1,-9.8712,-23111480.24,21420477.0,44531957.24,65952434.24,280902978.0,-8.227566829142,23.478723760629,5.0435,5233171473.6,日振幅值达到15%的前5只证券,,,,
4,000517,荣安地产,2026-06-09,1家机构卖出，成功率27.22%,2.1,-9.8712,-23111480.24,21420477.0,44531957.24,65952434.24,280902978.0,-8.227566829142,23.478723760629,5.0435,5233171473.6,日跌幅偏离值达到7%的前5只证券,,,,
5,000636,风华高科,2026-06-09,1家机构买入，成功率25.47%,61.08,9.9946,408707123.76,1761874596.58,1353167472.82,3115042069.4,9320761645.0,4.384911226426,33.420466996611,13.7343,70670360819.88,日涨幅偏离值达到7%的前5只证券,,,,
6,000668,荣丰控股,2026-06-09,2家机构卖出，成功率11.95%,19.95,-9.6467,-14958860.0,25886385.0,40845245.0,66731630.0,182676818.0,-8.188701863638,36.529884158591,6.0733,2929495705.5,日跌幅偏离值达到7%的前5只证券,,,,
7,000718,苏宁环球,2026-06-09,2家机构买入，成功率25.71%,2.16,0.4651,-15643201.91,60619548.09,76262750.0,136882298.09,352981744.0,-4.431731152079,38.778860498236,7.0799,4928752307.52,日振幅值达到15%的前5只证券,,,,
8,000970,中科三环,2026-06-09,1家机构买入，成功率20.46%,13.2,4.5131,59172937.05,692622336.14,633449399.09,1326071735.23,3679406181.0,1.608219754469,36.040373636313,16.606,16047580203.6,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
9,001696,宗申动力,2026-06-09,买一主买，成功率40.98%,17.55,10.0313,313849661.06,521245512.77,207395851.71,728641364.48,1818072372.0,17.262770497675,40.077687538833,7.7791,15644038848.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
10,001896,豫能控股,2026-06-09,买一主买，成功率41.48%,21.56,10.0,502795357.39,935090685.66,432295328.27,1367386013.93,5636835631.0,8.919815838249,24.258043048302,18.8955,32895845474.8,日涨幅偏离值达到7%的前5只证券,,,,
11,001896,豫能控股,2026-06-09,买一主买，成功率41.48%,21.56,10.0,502795357.39,935090685.66,432295328.27,1367386013.93,5636835631.0,8.919815838249,24.258043048302,18.8955,32895845474.8,日振幅值达到15%的前5只证券,,,,
12,002129,TCL中环,2026-06-09,普通席位买入，成功率46.58%,9.81,9.9776,322850979.78,763039672.08,440188692.3,1203228364.38,2904281288.0,11.116381223608,41.429470669785,7.7612,39630239838.0,日振幅值达到15%的前5只证券,,,,
13,002138,顺络电子,2026-06-09,3家机构买入，成功率44.65%,61.23,10.0072,118816351.01,1093537283.43,974720932.42,2068258215.85,5756210081.0,2.064142019455,35.930902221183,12.8396,46320479508.81,日涨幅偏离值达到7%的前5只证券,,,,
14,002225,濮耐股份,2026-06-09,3家机构买入，成功率46.38%,4.58,10.0962,99059834.6,246427610.6,147367776.0,393795386.6,1098959336.0,9.013967246555,35.833481158033,12.9259,4344689181.36,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
15,002243,力合科创,2026-06-09,主力做T，成功率46.96%,7.88,-9.9429,-52037685.2,38164508.03,90202193.23,128366701.26,463589907.0,-11.224939200413,27.689710091122,4.6939,9488641245.2,日跌幅偏离值达到7%的前5只证券,,,,
16,002354,天娱数科,2026-06-09,1家机构买入，成功率32.37%,8.06,9.9591,-97944896.8,310934003.2,408878900.0,719812903.2,3789546435.0,-2.584607379273,18.994698060746,29.2462,13103091858.74,日换手率达到20%的前5只证券,,,,
17,002361,神剑股份,2026-06-09,2家机构卖出，成功率41.01%,17.75,-4.0022,-47786387.53,596831417.86,644617805.39,1241449223.25,5146916710.0,-0.928446878442,24.120250884145,35.4234,14360087054.75,日换手率达到20%的前5只证券,,,,
18,002362,汉王科技,2026-06-09,主力做T，成功率46.23%,19.68,10.0056,17383378.35,89735875.53,72352497.18,162088372.71,616709739.0,2.818729339055,26.282765206988,11.2364,4085448581.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
19,002421,达实智能,2026-06-09,3家机构卖出，成功率31.92%,5.7,-0.5236,-127821122.12,686329236.51,814150358.63,1500479595.14,5607210324.0,-2.279584940356,26.759823663429,48.3254,11419249960.2,日换手率达到20%的前5只证券,,,,
20,002484,江海股份,2026-06-09,3家机构买入，成功率25.07%,91.98,9.9976,26780590.02,1373470161.01,1346689570.99,2720159732.0,5621842370.0,0.476366789701,48.385556779672,7.8263,75467038934.7,日涨幅偏离值达到7%的前5只证券,,,,
21,002552,宝鼎科技,2026-06-09,主力做T，成功率6.92%,64.96,7.0887,0.0,37626005003.63,37626005003.63,75252010007.26,37626005003.63,0.0,200.0,9.0828,23937973653.44,严重异常期间日收盘价格涨幅偏离值累计达到200%的证券,,,,
