序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,机构专用,26277475.0,0.101816089633,0.0,0.0,26277475.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
2,机构专用,16751982.6,0.064908114723,8879328.0,0.034404312268,7872654.6,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
3,华鑫证券有限责任公司深圳益田路证券营业部,12170143.0,0.047155077515,2612632.0,0.01012304165,9557511.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
4,深股通专用,12100237.0,0.046884216043,15173348.0,0.058791453897,-3073111.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
5,国泰海通证券股份有限公司上海浦东新区福山路证券营业部,6808242.0,0.026379573293,7436490.0,0.028813816106,-628248.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
1,深股通专用,12100237.0,0.046884216043,15173348.0,0.058791453897,-3073111.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
2,机构专用,16751982.6,0.064908114723,8879328.0,0.034404312268,7872654.6,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
3,机构专用,4385537.0,0.016992432807,8178075.0,0.031687200434,-3792538.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
4,国泰海通证券股份有限公司上海浦东新区福山路证券营业部,6808242.0,0.026379573293,7436490.0,0.028813816106,-628248.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
5,机构专用,0.0,0.0,6599151.0,0.025569418284,-6599151.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000029,深深房A
1,深股通专用,60269142.88,0.061213385303,24062383.01,0.024439370665,36206759.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
2,山西证券股份有限公司湖南分公司,32057613.08,0.032559862769,2533643.0,0.002573337827,29523970.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
3,机构专用,25885274.0,0.026290821062,19109396.0,0.019408784734,6775878.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
4,长江证券股份有限公司安徽分公司,20284048.84,0.020601840972,0.0,0.0,20284048.84,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
5,机构专用,15604816.0,0.015849298144,0.0,0.0,15604816.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
1,深股通专用,60269142.88,0.061213385303,24062383.01,0.024439370665,36206759.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
2,申万宏源证券有限公司泉州分公司,0.0,0.0,19256400.0,0.01955809186,-19256400.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
3,机构专用,25885274.0,0.026290821062,19109396.0,0.019408784734,6775878.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
4,华福证券股份有限公司南安成功街证券营业部,0.0,0.0,14807815.0,0.015039810453,-14807815.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
5,机构专用,11185949.0,0.011361200332,13455216.0,0.013666020155,-2269267.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000048,京基智农
1,机构专用,12705126.0,0.017910504469,51936601.0,0.073215387579,-39231475.0,日振幅值达到15%的前5只证券,000509,华塑控股
2,机构专用,12704253.0,0.017909273795,24747407.0,0.034886591733,-12043154.0,日振幅值达到15%的前5只证券,000509,华塑控股
3,东方财富证券股份有限公司拉萨团结路第一证券营业部,8408038.0,0.011852869635,3985010.0,0.005617696307,4423028.0,日振幅值达到15%的前5只证券,000509,华塑控股
4,金元证券股份有限公司深圳深南大道证券营业部,8041175.0,0.011335700313,13320.0,1.8777297e-05,8027855.0,日振幅值达到15%的前5只证券,000509,华塑控股
5,中信证券(山东)有限责任公司胶州湖州路证券营业部,7339819.0,0.010346993883,21607.0,3.0459538e-05,7318212.0,日振幅值达到15%的前5只证券,000509,华塑控股
6,机构专用,12705126.0,0.017910504469,51936601.0,0.073215387579,-39231475.0,日跌幅偏离值达到7%的前5只证券,000509,华塑控股
7,机构专用,12704253.0,0.017909273795,24747407.0,0.034886591733,-12043154.0,日跌幅偏离值达到7%的前5只证券,000509,华塑控股
8,东方财富证券股份有限公司拉萨团结路第一证券营业部,8408038.0,0.011852869635,3985010.0,0.005617696307,4423028.0,日跌幅偏离值达到7%的前5只证券,000509,华塑控股
9,金元证券股份有限公司深圳深南大道证券营业部,8041175.0,0.011335700313,13320.0,1.8777297e-05,8027855.0,日跌幅偏离值达到7%的前5只证券,000509,华塑控股
10,中信证券(山东)有限责任公司胶州湖州路证券营业部,7339819.0,0.010346993883,21607.0,3.0459538e-05,7318212.0,日跌幅偏离值达到7%的前5只证券,000509,华塑控股
1,机构专用,12705126.0,0.017910504469,51936601.0,0.073215387579,-39231475.0,日振幅值达到15%的前5只证券,000509,华塑控股
2,国新证券股份有限公司北京分公司,12754.0,1.7979402e-05,26111497.0,0.036809558891,-26098743.0,日振幅值达到15%的前5只证券,000509,华塑控股
3,机构专用,12704253.0,0.017909273795,24747407.0,0.034886591733,-12043154.0,日振幅值达到15%的前5只证券,000509,华塑控股
4,机构专用,2254419.0,0.003178070141,21432496.0,0.030213538645,-19178077.0,日振幅值达到15%的前5只证券,000509,华塑控股
5,机构专用,4533361.0,0.006390710525,20744178.0,0.029243211974,-16210817.0,日振幅值达到15%的前5只证券,000509,华塑控股
