序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000032,深桑达A,2026-06-12,2家机构买入，成功率32.79%,18.92,10.0,342897279.14,587975513.9,245078234.76,833053748.66,2534460702,13.529398142548,32.869073408896,9.2759,21530188707.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98942918,,,
2,000510,新金路,2026-06-12,3家机构买入，成功率26.43%,19.37,9.9943,-9862745.76999998,325405832.44,335268578.21,660674410.65,1964633460,-0.502014547284,33.628380260306,11.988,11750043293.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01548787,,,
3,000630,铜陵有色,2026-06-12,2家机构买入，成功率52.06%,7.1,10.0775,359717230.98,700831635.97,341114404.99,1041946040.96,4356050981,8.25787467936,23.919509792349,5.6446,79115226351.7,日涨幅偏离值达到7%的前5只证券,7.88732394,,,
4,000833,粤桂股份,2026-06-12,1家机构卖出，成功率44.31%,24.01,-10.0075,7662174.87,234855725.13,227193550.26,462049275.39,2157844249,0.355084704262,21.412540576278,19.5193,10893385644.26,日跌幅偏离值达到7%的前5只证券,-2.33236152,,,
5,001257,盛龙股份,2026-06-12,主力做T，成功率39.04%,27.74,9.9921,164245978.75,292655583.14,128409604.39,421065187.53,1224207607,13.416513490918,34.394916770845,10.4423,3798937187.12,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98558039,,,
6,001696,宗申动力,2026-06-12,3家机构买入，成功率47.65%,22.84,10.0193,79689586.61,335222292.36,255532705.75,590754998.11,2105919056,3.784076428909,28.052122726506,10.5085,20359535459.0,日涨幅偏离值达到7%的前5只证券,0.04378284,,,
7,002051,中工国际,2026-06-12,4家机构卖出，成功率37.92%,10.56,-9.7436,-173688504.24,99795777.94,273484282.18,373280060.12,1510172890,-11.501233096563,24.717703687556,11.1006,12950909928.0,日振幅值达到15%的前5只证券,10.03787879,,,
8,002119,康强电子,2026-06-12,4家机构买入，成功率43.40%,31.96,2.4359,369686468.3,822493732.07,452807263.77,1275300995.84,4746454048,7.788687398244,26.868499788329,38.3512,11994076640.0,日换手率达到20%的前5只证券,5.63204005,,,
9,002203,海亮股份,2026-06-12,普通席位买入，成功率59.36%,23.44,9.9953,-370480363.29,496580475.75,867060839.04,1363641314.79,2398997028,-15.443135567319,56.842142731908,4.635,51852591345.36,日涨幅偏离值达到7%的前5只证券,5.75938567,,,
10,002203,海亮股份,2026-06-12,普通席位买入，成功率56.31%,23.44,9.9953,-388373813.17,521191614.87,909565428.04,1430757042.91,2970843270,-13.072847601617,48.159963783953,4.635,51852591345.36,连续三个交易日内，涨幅偏离值累计达到20%的证券,5.75938567,,,
11,002354,天娱数科,2026-06-12,1家机构卖出，成功率42.71%,7.52,-5.7644,32350869.45,574932267.74,542581398.29,1117513666.03,4641983265,0.696919131396,24.074056329671,37.4023,12225217218.08,日换手率达到20%的前5只证券,-0.26595745,,,
12,002361,神剑股份,2026-06-12,西藏自治区资金卖出，成功率16.92%,15.74,-9.9027,5907569.14999998,292244311.59,286336742.44,578581054.03,3790051173,0.155870432359,15.265784751187,28.2031,12733958886.86,日跌幅偏离值达到7%的前5只证券,1.20711563,,,
13,002421,达实智能,2026-06-12,1家机构卖出，成功率26.54%,4.4,-10.0204,-20408772.74,200147758.2,220556530.94,420704289.14,2945485156,-0.692883231763,14.283021874445,33.1612,8814859618.4,日跌幅偏离值达到7%的前5只证券,-8.86363636,,,
