序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000539,粤电力A,2026-06-03,2家机构买入，成功率20.96%,9.4,2.9573,-254448127.12,374078893.7,628527020.82,1002605914.52,4124812857,-6.168719307791,24.306700674154,18.1421,25817054850.6,日振幅值达到15%的前5只证券,,,,
2,000601,韶能股份,2026-06-03,主力做T，成功率13.47%,9.3,3.4483,-151203109.5,265980933.3,417184042.8,683164976.1,2942586044,-5.138443098658,23.216482572973,30.4151,9761452273.2,日换手率达到20%的前5只证券,,,,
3,000700,模塑科技,2026-06-03,3家机构买入，成功率43.65%,16.58,10.0199,184024738.79,438678628.54,254653889.75,693332518.29,2389154941,7.70250332584,29.019989720709,16.1314,15220695149.62,日涨幅偏离值达到7%的前5只证券,,,,
4,000712,锦龙股份,2026-06-03,1家机构卖出，成功率41.94%,9.89,-10.0091,-13557179.7,35200539.0,48757718.7,83958257.7,458886152,-2.954366707497,18.296097481713,5.1515,8858810496.25,日跌幅偏离值达到7%的前5只证券,,,,
5,000767,晋控电力,2026-06-03,2家机构卖出，成功率22.10%,6.07,-0.6547,-420324163.05,351479488.28,771803651.33,1123283139.61,4547253365,-9.243473572096,24.702453315134,26.8019,17677335866.52,日振幅值达到15%的前5只证券,,,,
6,001896,豫能控股,2026-06-03,普通席位买入，成功率49.41%,20.08,10.0274,325343880.23,571769803.17,246425922.94,818195726.11,3192284487,10.191569127216,25.630413875767,10.7753,30637689106.4,日涨幅偏离值达到7%的前5只证券,,,,
7,001896,豫能控股,2026-06-03,2家机构买入，成功率50.36%,20.08,10.0274,368995752.93,1364781700.36,995785947.43,2360567647.79,12552773605,2.939555547971,18.805147946345,10.7753,30637689106.4,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
8,002046,国机精工,2026-06-03,2家机构买入，成功率48.96%,56.98,10.0,377776775.79,535920119.57,158143343.78,694063463.35,1619474915,23.327114998259,42.857314856896,5.4535,30209541243.42,日涨幅偏离值达到7%的前5只证券,,,,
9,002137,实益达,2026-06-03,普通席位买入，成功率50.52%,10.4,10.0529,112762746.97,174777665.95,62014918.98,236792584.93,743579728,15.164849541191,31.844948969615,7.6352,4123164042.4,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
10,002156,通富微电,2026-06-03,2家机构买入，成功率49.90%,70.22,9.9937,1622415424.28,2509824656.64,887409232.36,3397233889.0,12284088708,13.207454479089,27.655562978697,11.6315,106555495028.84,日涨幅偏离值达到7%的前5只证券,,,,
11,002167,东方锆业,2026-06-03,1家机构买入，成功率53.20%,14.73,10.0075,188241016.64,299815175.07,111574158.43,411389333.5,1127291343,16.698524104607,36.493612414799,10.384,11175841944.99,日涨幅偏离值达到7%的前5只证券,,,,
12,002181,粤传媒,2026-06-03,主力做T，成功率17.49%,15.79,-3.366,-50695032.42,211067813.8,261762846.22,472830660.02,2689747713,-1.884750460981,17.578996637295,15.4787,17914340872.16,日振幅值达到15%的前5只证券,,,,
13,002421,达实智能,2026-06-03,2家机构卖出，成功率43.82%,4.88,-1.8109,148737243.09,558443381.26,409706138.17,968149519.43,3755504275,3.9605132147,25.77948122373,38.2795,9776480667.68,日换手率达到20%的前5只证券,,,,
14,002528,*ST英飞,2026-06-03,2家机构买入，成功率45.82%,4.8,5.0328,6825281.32,17851895.32,11026614.0,28878509.32,85380647,7.993944248279,33.823249570831,0.1061,5041039492.8,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
15,002579,中京电子,2026-06-03,1家机构卖出，成功率24.00%,19.45,-6.3102,-88963226.64,380292548.75,469255775.39,849548324.14,5494938576,-1.619003113676,15.460560885076,46.9553,11347361338.3,日振幅值达到15%的前5只证券,,,,
16,002579,中京电子,2026-06-03,1家机构卖出，成功率24.00%,19.45,-6.3102,-88963226.64,380292548.75,469255775.39,849548324.14,5494938576,-1.619003113676,15.460560885076,46.9553,11347361338.3,日换手率达到20%的前5只证券,,,,
17,002606,大连电瓷,2026-06-03,西藏自治区资金卖出，成功率59.64%,14.95,-9.994,9506888.02,58886886.0,49379997.98,108266883.98,1062613668,0.894670218001,10.188734367004,16.5918,6296073722.25,日跌幅偏离值达到7%的前5只证券,,,,
18,002667,*ST威领,2026-06-03,1家机构买入，成功率25.71%,21.56,5.017,44240.1299999952,72830030.33,72785790.2,145615820.53,729640123,0.00606328087,19.957211225074,3.2471,5101333160.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
19,002681,奋达科技,2026-06-03,主力做T，成功率44.65%,5.01,-10.0539,-39452148.97,41431913.58,80884062.55,122315976.13,543464421,-7.259380273212,22.506712749463,6.6627,7862016738.18,日跌幅偏离值达到7%的前5只证券,,,,
20,002806,华锋股份,2026-06-03,3家机构卖出，成功率30.27%,18.8,-7.5258,-13481120.22,131135919.62,144617039.84,275752959.46,1133332706,-1.189511266077,24.331156949776,33.9102,3273175598.0,日换手率达到20%的前5只证券,,,,
21,002851,麦格米特,2026-06-03,3家机构买入，成功率18.00%,157.98,6.7793,340419870.35,3553284946.48,3212865076.13,6766150022.61,21465778231,1.585872483572,31.520636940331,14.8036,72369350620.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
22,002859,洁美科技,2026-06-03,3家机构买入，成功率37.30%,86.72,7.8607,-100368882.77,321286121.87,421655004.64,742941126.51,2841570259,-3.53216262917,26.145442793713,8.4337,35199596401.6,日振幅值达到15%的前5只证券,,,,
23,002995,天地在线,2026-06-03,3家机构卖出，成功率40.79%,25.03,-3.7308,79211373.52,168611074.52,89399701.0,258010775.52,953164687,8.310355450674,27.068855890168,33.8715,2813802716.24,日换手率达到20%的前5只证券,,,,
24,003004,声迅股份,2026-06-03,2家机构卖出，成功率41.90%,64.49,-9.993,-10514066.0,18788201.0,29302267.0,48090468.0,143023650,-7.351277918023,33.624136987135,3.1848,4433182156.36,日跌幅偏离值达到7%的前5只证券,,,,
25,003018,金富科技,2026-06-03,3家机构卖出，成功率32.05%,52.09,-4.5796,-301252044.44,418785775.0,720037819.44,1138823594.44,3005039031,-10.024896227047,37.897131541118,8.4983,12365514875.0,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
26,003030,祖名股份,2026-06-03,3家机构卖出，成功率23.87%,21.47,-9.979,-12274612.14,37965394.38,50240006.52,88205400.9,154983774,-7.919933695769,56.912668096468,8.593,1738188119.75,日跌幅偏离值达到7%的前5只证券,,,,
27,118033,华特转债,2026-06-03,,212.341,19.9999,-4759650.0,1044410930.0,1049170580.0,2093581510.0,4184708120,-0.113739115454,50.02933179483,,,"非上市首日,当日收盘价涨幅达15%的前五只可转债",,,,
28,127080,声迅转债,2026-06-03,,271.88,-15.317,-21371304.09,303010357.47,324381661.56,627392019.03,1239288056,-1.724482374096,50.625196942106,,,日跌幅达到15%的前5只可转债,,,,
29,300085,银之杰,2026-06-03,4家机构卖出，成功率14.99%,35.13,-15.5123,-425429899.42,817712314.49,1243142213.91,2060854528.4,5301603284,-8.024551755955,38.872288588993,21.1863,22905211771.8,日跌幅达到15%的前5只证券,,,,
30,300197,节能铁汉,2026-06-03,1家机构买入，成功率41.21%,2.78,19.8276,-43073592.01,189369955.78,232443547.79,421813503.57,1275113026,-3.378021487642,33.080479531546,15.7769,8243320162.4,日涨幅达到15%的前5只证券,,,,
31,300516,久之洋,2026-06-03,买一主买，成功率42.72%,39.54,20.0,77532969.3,131809531.5,54276562.2,186086093.7,329416949,23.536423834707,56.489532267509,3.5808,9964080000.0,日涨幅达到15%的前5只证券,,,,
32,300849,锦盛新材,2026-06-03,4家机构买入，成功率25.40%,27.76,8.3528,-8051295.73,132818693.76,140869989.49,273688683.25,738430489,-1.090325474088,37.063567570271,8.5067,3061091396.88,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
33,301013,利和兴,2026-06-03,4家机构买入，成功率29.14%,54.08,1.0841,141303944.03,604298506.69,462994562.66,1067293069.35,3323910087,4.251136171903,32.109564982646,32.8657,10234187783.04,日换手率达到30%的前5只证券,,,,
34,301115,联检科技,2026-06-03,3家机构买入，成功率49.66%,33.94,20.0141,31954841.78,88019469.78,56064628.0,144084097.78,248148241,12.877319480979,58.063719170188,4.9724,5252782273.16,日涨幅达到15%的前5只证券,,,,
35,301139,*ST元道,2026-06-03,2家机构买入，成功率36.25%,6.33,2.0968,-4607717.49,20063623.76,24671341.25,44734965.01,234761399,-1.962723646062,19.055502821399,50.1701,482138046.84,日振幅值达到30%的前5只证券,,,,
36,301139,*ST元道,2026-06-03,2家机构买入，成功率36.25%,6.33,2.0968,-4607717.49,20063623.76,24671341.25,44734965.01,234761399,-1.962723646062,19.055502821399,50.1701,482138046.84,日换手率达到30%的前5只证券,,,,
37,301236,软通动力,2026-06-03,2家机构买入，成功率35.49%,43.59,2.8066,225797227.23,846496460.12,620699232.89,1467195693.01,9062070615,2.491673667343,16.190512691232,10.2478,34249066381.86,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
38,301329,信音电子,2026-06-03,2家机构买入，成功率34.27%,33.27,10.7523,-26388998.16,74729028.98,101118027.14,175847056.12,940665576,-2.805353872118,18.693897236865,49.859,1994336880.0,日换手率达到30%的前5只证券,,,,
39,301366,一博科技,2026-06-03,买一主买，成功率58.05%,54.16,20.0089,99767826.68,219737382.68,119969556.0,339706938.68,524760121,19.012082413938,64.73566208359,8.2853,6336522532.64,日涨幅达到15%的前5只证券,,,,
40,301418,协昌科技,2026-06-03,3家机构买入，成功率18.74%,45.88,19.7286,10857267.0,32862814.0,22005547.0,54868361.0,77724590,13.96889581534,70.593310302441,6.6761,1350539003.92,日涨幅达到15%的前5只证券,,,,
41,301419,阿莱德,2026-06-03,1家机构买入，成功率3.33%,50.36,12.2103,-29335744.04,128705499.52,158041243.56,286746743.08,1831676281,-1.601579075096,15.654881053734,23.6862,4993609470.0,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
42,301563,云汉芯城,2026-06-03,2家机构卖出，成功率30.40%,206.0,-2.6925,-88858977.49,220474688.15,309333665.64,529808353.79,1712050154,-5.19020878462,30.945843061441,42.703,3941953170.0,日换手率达到30%的前5只证券,,,,
43,301591,肯特股份,2026-06-03,2家机构买入，成功率17.33%,53.02,4.329,-61676958.37,72605247.94,134282206.31,206887454.25,795125546,-7.756883008007,26.019470169306,33.9921,2369715538.96,日换手率达到30%的前5只证券,,,,
44,600121,郑州煤电,2026-06-03,普通席位买入，成功率40.52%,5.69,10.058,16039022.96,171416575.66,155377552.7,326794128.36,1541583722,1.040425033756,21.1985975005,23.9626,6932764496.22,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
45,600162,香江控股,2026-06-03,普通席位买入，成功率45.13%,3.35,4.3614,20957304.16,202859156.96,181901852.8,384761009.76,1531465245,1.368447911464,25.123718022083,14.6456,10949267708.7,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
46,600172,黄河旋风,2026-06-03,普通席位买入，成功率48.64%,15.04,8.2014,-13745459.5500001,683723460.03,697468919.58,1381192379.61,4894197083,-0.280852187129,28.221020857692,26.1868,19194886480.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
47,600180,*ST瑞茂,2026-06-03,西藏自治区资金买入，成功率30.61%,1.55,4.7297,1581397.13,23047126.76,21465729.63,44512856.39,248807945,0.635589482482,17.890448148672,7.3114,1684272569.2,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券,,,,
48,600198,大唐电信,2026-06-03,买一主买，成功率55.39%,8.86,10.0621,83271419.12,104945190.12,21673771.0,126618961.12,276982199,30.063816166035,45.713754016373,2.4561,11535275263.44,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
49,600255,鑫科材料,2026-06-03,普通席位买入，成功率57.54%,4.39,10.0251,128642366.87,232252235.0,103609868.13,335862103.13,1072236396,11.997575100967,31.323512649164,3.1255,7928985132.45,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
50,600310,广西能源,2026-06-03,买一主买，成功率55.44%,6.35,10.052,155458563.97,194872363.97,39413800.0,234286163.97,693746976,22.408539330339,33.771125795869,7.516,9307263084.7,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
51,600421,退市华嵘,2026-06-03,普通席位卖出，成功率24.08%,0.34,-2.8571,321746.75,2530446.42,2208699.67,4739146.09,8377813,3.840462302035,56.567818952273,12.8075,66504000.0,退市整理的证券,,,,
52,600439,瑞贝卡,2026-06-03,上海资金买入，成功率49.03%,2.62,10.084,25738816.8,53976391.8,28237575.0,82213966.8,150109672,17.14667446612,54.769266833119,5.1734,2965801852.8,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
53,600487,亨通光电,2026-06-03,买一主买，成功率51.11%,91.43,9.9976,992629307.58,3032952427.42,2040323119.84,5073275547.26,21814558637,4.550306628237,23.256374936026,2.8593,223562910258.75,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
54,600599,退市熊猫,2026-06-03,普通席位卖出，成功率37.80%,0.5,-1.9608,-71446.8100000001,1199071.64,1270518.45,2469590.09,4148151,-1.722377271223,59.534720168094,5.0651,83000000.0,退市整理的证券,,,,
55,600636,退市国化,2026-06-03,普通席位卖出，成功率32.48%,2.03,-9.7778,1457316.76,11400126.0,9942809.24,21342935.24,48187565,3.024258976356,44.291375254176,5.4042,890432708.06,退市整理的证券,,,,
56,600636,退市国化,2026-06-03,普通席位卖出，成功率32.48%,2.03,-9.7778,1457316.76,11400126.0,9942809.24,21342935.24,48187565,3.024258976356,44.291375254176,5.4042,890432708.06,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
57,600696,退市岩石,2026-06-03,普通席位买入，成功率33.53%,0.63,3.2787,493729.68,1709494.0,1215764.32,2925258.32,5239744,9.422782487083,55.828267945915,2.3973,210715741.53,退市整理的证券,,,,
58,600850,电科数字,2026-06-03,普通席位卖出，成功率42.06%,22.87,-9.9961,4170418.47,53866891.47,49696473.0,103563364.47,1004154156,0.415316557232,10.313492589877,6.2066,15556145206.67,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
59,600863,华能蒙电,2026-06-03,西藏自治区资金买入，成功率35.56%,7.39,0.1355,-313760984.57,301841026.02,615602010.59,917443036.61,4959862388,-6.326001812654,18.497348612528,10.6975,48233700923.29,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
60,600936,北投科技,2026-06-03,普通席位买入，成功率35.59%,6.51,9.9662,77919201.34,287879950.49,209960749.15,497840699.64,2122011627,3.671949783336,23.460790379543,11.8207,10878380815.89,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
61,601101,昊华能源,2026-06-03,2家机构买入，成功率43.16%,14.01,5.1802,4535204.84,189560583.54,185025378.7,374585962.24,1578841915,0.287248824402,23.72536215825,8.1651,20174370943.26,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
62,601177,杭齿前进,2026-06-03,卖一主卖，成功率43.96%,15.86,-9.9886,23525934.58,49487355.46,25961420.88,75448776.34,457677410,5.140287474534,16.485143179778,7.1241,6344951600.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
63,601798,蓝科高新,2026-06-03,普通席位买入，成功率46.60%,8.54,10.0515,18240543.0,25449476.0,7208933.0,32658409.0,49960537,36.509901805099,65.368410671807,1.6618,3027670810.92,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
64,601991,大唐发电,2026-06-03,西藏自治区资金卖出，成功率32.79%,9.1,-0.8715,45245948.4400001,638729106.95,593483158.51,1232212265.46,10786446170,0.419470395781,11.423709403818,9.84,112804410864.6,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
65,603011,合锻智能,2026-06-03,1家机构买入，成功率39.34%,30.91,6.623,20714614.34,469149220.26,448434605.92,917583826.18,3270311875,0.633414033027,28.05799144707,21.9336,15282350247.67,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
66,603311,金海高科,2026-06-03,普通席位买入，成功率42.75%,37.51,10.0,30661363.5,241494460.0,210833096.5,452327556.5,1422814748,2.154979314285,31.791036544696,8.9695,8848005351.57,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
67,603344,星德胜,2026-06-03,卖一主卖，成功率38.32%,30.6,-9.7345,-65799307.23,106628997.16,172428304.39,279057301.55,511922605,-12.853370135902,54.511619300343,29.8226,1653347988.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
68,603435,嘉德利,2026-06-03,普通席位买入，成功率48.14%,77.14,0.4166,23579950.6,76082895.63,52502945.03,128585840.66,878482271,2.684169206188,14.637272134545,32.5246,2752936989.88,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
69,603459,红板科技,2026-06-03,1家机构买入，成功率46.85%,97.72,0.6282,-124407340.77,157384331.46,281791672.23,439176003.69,2367999518,-5.253689446486,18.546287714658,30.1542,7724947563.76,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
70,603687,大胜达,2026-06-03,普通席位买入，成功率46.23%,18.9,5.6456,120353859.0,523939608.0,403585749.0,927525357.0,3573206626,3.368231160333,25.957786774797,15.0457,10395602229.6,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
71,603721,中广天择,2026-06-03,卖一主卖，成功率63.03%,21.68,-10.0042,-20064136.49,15034869.0,35099005.49,50133874.49,180948641,-11.088304603515,27.706134852928,6.2735,2818400000.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
72,603800,洪田股份,2026-06-03,买一主买，成功率41.86%,75.87,6.8742,138841948.18,764223042.92,625381094.74,1389604137.66,3898072381,3.561810418317,35.648494995455,9.5392,15780960000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
73,603890,春秋电子,2026-06-03,买一主买，成功率37.53%,31.33,4.3638,-118312456.17,427493067.41,545805523.58,973298590.99,4935974480,-2.396942217781,19.718468864329,35.924,13998507203.33,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
74,605077,华康股份,2026-06-03,卖一主卖，成功率40.09%,15.65,-10.0058,-9887488.7,49474186.06,59361674.76,108835860.82,317612759,-3.113064075615,34.266841534537,6.5841,4686072535.75,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
75,605303,园林股份,2026-06-03,普通席位买入，成功率47.45%,29.6,9.9963,-16413427.0,129998761.0,146412188.0,276410949.0,871373442,-1.883627180825,31.721296022699,6.0267,4772627276.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
76,688268,华特气体,2026-06-03,买一主买，成功率46.40%,176.27,20.0014,138867112.01,511244028.58,372376916.57,883620945.15,2675199500,5.190906772,33.030095331208,13.0963,22036713980.05,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
77,688287,退市观典,2026-06-03,普通席位卖出，成功率45.95%,0.34,-5.5556,134105.27,1098940.68,964835.41,2063776.09,3233500,4.147371888047,63.824836554817,2.5115,125975304.0,退市整理的证券,,,,
78,688496,*ST清越,2026-06-03,西藏自治区资金买入，成功率32.14%,1.53,19.5313,-2066904.46,4028448.54,6095353.0,10123801.54,66274600,-3.118697751476,15.275537747493,18.9128,364056768.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
79,688498,源杰科技,2026-06-03,1家机构买入，成功率45.81%,1405.0,16.413,182731853.9,2231262253.99,2048530400.09,4279792654.08,10551540000,1.731802693256,40.560834286559,6.2609,172663462320.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
80,688515,裕太微,2026-06-03,买一主买，成功率42.28%,246.5,13.5945,-102968705.88,507628590.98,610597296.86,1118225887.84,4980072500,-2.067614595571,22.454008206507,25.8301,12280482100.0,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,,,,
81,688635,长进光子,2026-06-03,普通席位买入，成功率47.07%,672.99,10.1457,129941986.73,400527400.58,270585413.85,671112814.43,4808981200,2.702068927406,13.955405241135,40.386,11949958375.83,有价格涨跌幅限制的日换手率达到30%的前五只证券,,,,
82,688655,迅捷兴,2026-06-03,1家机构买入，成功率46.78%,58.66,20.0082,106127833.83,221573417.97,115445584.14,337019002.11,809281500,13.113834164008,41.644224180338,10.8227,7824657400.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
83,688661,和林微纳,2026-06-03,买一主买，成功率62.66%,129.7,15.207,41249197.48,333724632.93,292475435.45,626200068.38,1375962100,2.997844016198,45.50997940859,7.0746,19699851032.2,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,
84,920088,科力股份,2026-06-03,1家机构买入，成功率40.99%,43.87,24.6307,653247.649999999,43861086.85,43207839.2,87068926.05,408163700,0.160045503802,21.331864163815,31.5604,1428680510.1,当日换手率达到20%的前5只股票,,,,
85,920088,科力股份,2026-06-03,1家机构买入，成功率40.99%,43.87,24.6307,653247.649999999,43861086.85,43207839.2,87068926.05,408163700,0.160045503802,21.331864163815,31.5604,1428680510.1,当日收盘价涨幅达到20%的前5只股票,,,,
86,920128,胜业电气,2026-06-03,主力做T，成功率25.47%,31.8,-4.4471,-13970805.94,35805133.27,49775939.21,85581072.48,417710400,-3.344615298063,20.48813543546,50.4528,772740000.0,当日换手率达到20%的前5只股票,,,,
87,920161,龙辰科技,2026-06-03,2家机构卖出，成功率20.70%,44.01,-1.7634,5027943.35000001,87340577.37,82312634.02,169653211.39,771403100,0.651791955464,21.992809127938,45.7814,1623917948.4,当日换手率达到20%的前5只股票,,,,
88,920218,新天力,2026-06-03,1家机构卖出，成功率27.72%,28.4,-4.5378,4630484.71,28248023.33,23617538.62,51865561.95,235928900,1.962661085607,21.983556041672,38.1642,598564903.6,当日换手率达到20%的前5只股票,,,,
89,920725,惠丰钻石,2026-06-03,1家机构买入，成功率33.75%,94.5,17.2457,-38443101.54,117172487.76,155615589.3,272788077.06,984013200,-3.906766854347,27.721993674475,26.0738,3928353660.0,当日价格振幅达到30%的前5只股票,,,,
90,920981,晶赛科技,2026-06-03,1家机构买入，成功率37.67%,43.87,23.682,5035927.18000001,84874254.04,79838326.86,164712580.9,507748200,0.991815860696,32.439815818156,30.7104,1687358517.39,当日换手率达到20%的前5只股票,,,,
91,920981,晶赛科技,2026-06-03,1家机构买入，成功率37.67%,43.87,23.682,5035927.18000001,84874254.04,79838326.86,164712580.9,507748200,0.991815860696,32.439815818156,30.7104,1687358517.39,当日收盘价涨幅达到20%的前5只股票,,,,
