序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,深股通专用,208442185.66,0.082243210753,53522647.15,0.021117962929,154919538.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
2,万和证券股份有限公司海南分公司,113234307.0,0.044677870488,288434.0,0.000113804882,112945873.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
3,国泰海通证券股份有限公司成都北一环路证券营业部,81032670.0,0.031972352121,999359.0,0.000394308343,80033311.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
4,机构专用,72314552.67,0.02853252079,8865091.0,0.003497821447,63449461.67,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
5,机构专用,57094398.8,0.022527237749,24953325.45,0.009845615452,32141073.35,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
1,机构专用,0.0,0.0,54026490.2,0.021316759876,-54026490.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
2,深股通专用,208442185.66,0.082243210753,53522647.15,0.021117962929,154919538.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
3,机构专用,55840813.77,0.022032621664,38659815.75,0.015253665492,17180998.02,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
4,山西证券股份有限公司大同永泰南路证券营业部,16586.0,6.544193e-06,32643093.0,0.012879699801,-32626507.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
5,机构专用,0.0,0.0,31119979.21,0.01227873811,-31119979.21,连续三个交易日内，涨幅偏离值累计达到20%的证券,000032,深桑达A
1,机构专用,84980126.0,0.043254951995,150603256.24,0.076657177691,-65623130.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
2,机构专用,73513907.0,0.037418637368,70884633.0,0.036080334802,2629274.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
3,华福证券股份有限公司上海浦明路证券营业部,52966439.44,0.026959959971,21254.0,1.0818303e-05,52945185.44,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
4,开源证券股份有限公司西安太华路证券营业部,48588084.0,0.024731373556,41324475.97,0.021034191268,7263608.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
5,机构专用,38987075.0,0.019844452308,35005142.0,0.017817645231,3981933.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
1,机构专用,84980126.0,0.043254951995,150603256.24,0.076657177691,-65623130.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
2,机构专用,73513907.0,0.037418637368,70884633.0,0.036080334802,2629274.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
3,开源证券股份有限公司西安太华路证券营业部,48588084.0,0.024731373556,41324475.97,0.021034191268,7263608.03,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
4,机构专用,26370201.0,0.013422453367,37429817.0,0.019051806743,-11059616.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
5,机构专用,38987075.0,0.019844452308,35005142.0,0.017817645231,3981933.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000510,新金路
1,深股通专用,276809942.83,0.063546075112,120942744.3,0.027764308735,155867198.53,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
2,国泰海通证券股份有限公司上海松江区中山东路证券营业部,112036428.0,0.025719723779,105235.0,2.4158349e-05,111931193.0,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
3,机构专用,100912203.0,0.023165983006,49048480.0,0.011259849853,51863723.0,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
4,机构专用,79254938.24,0.018194217328,19675898.0,0.004516911782,59579040.24,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
5,财通证券股份有限公司杭州东湖南路证券营业部,74142100.0,0.017020484912,324755.0,7.4552617e-05,73817345.0,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
1,深股通专用,276809942.83,0.063546075112,120942744.3,0.027764308735,155867198.53,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
2,长城证券股份有限公司上海长宁区延安西路证券营业部,13640.0,3.131276e-06,54905037.18,0.012604314646,-54891397.18,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
3,机构专用,57657623.9,0.013236214211,52089040.03,0.01195785822,5568583.87,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
4,机构专用,100912203.0,0.023165983006,49048480.0,0.011259849853,51863723.0,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
5,国泰海通证券股份有限公司海口国贸大道证券营业部,4760.0,1.092733e-06,44023215.48,0.010106221362,-44018455.48,日涨幅偏离值达到7%的前5只证券,000630,铜陵有色
1,深股通专用,108154369.94,0.05012149046,27992281.43,0.012972336369,80162088.51,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
2,机构专用,39336015.0,0.018229311508,5638910.0,0.002613214556,33697105.0,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
3,机构专用,32628368.59,0.015120817272,13185059.5,0.006110292486,19443309.09,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
4,兴业证券股份有限公司宁波分公司,27340230.6,0.012670159402,12310083.0,0.005704806084,15030147.6,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
5,机构专用,24906852.0,0.011542469764,15607952.64,0.007233122894,9298899.36,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
1,东亚前海证券有限责任公司苏州分公司,12030.0,5.575008e-06,52471002.49,0.024316399348,-52458972.49,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
2,国泰海通证券股份有限公司北京知春路证券营业部,2433903.0,0.001127932658,50488008.6,0.023397429459,-48054105.6,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
3,深股通专用,108154369.94,0.05012149046,27992281.43,0.012972336369,80162088.51,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
4,机构专用,0.0,0.0,25376946.6,0.011760323578,-25376946.6,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
5,国泰海通证券股份有限公司上海松江区中山东路证券营业部,43956.0,2.037033e-05,24123306.0,0.011179354586,-24079350.0,日跌幅偏离值达到7%的前5只证券,000833,粤桂股份
1,开源证券股份有限公司西安太华路证券营业部,101653661.0,0.083036292553,0.0,0.0,101653661.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,001257,盛龙股份
2,深股通专用,55521108.16,0.045352690052,70907478.71,0.057921122451,-15386370.55,连续三个交易日内，涨幅偏离值累计达到20%的证券,001257,盛龙股份
3,中国银河证券股份有限公司宜昌新世纪证券营业部,32783027.98,0.026778977514,104464.0,8.5331932e-05,32678563.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,001257,盛龙股份
4,华泰证券股份有限公司深圳龙岗大道证券营业部,27429312.0,0.022405768305,30237.0,2.4699242e-05,27399075.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,001257,盛龙股份
5,平安证券股份有限公司浙江分公司,24333813.0,0.019877194735,1188737.0,0.00097102566,23145076.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,001257,盛龙股份
