序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
2,000029,深深房A,2026-06-10,2家机构买入，成功率29.68%,26.99,9.9837,29614592.6,78493616.6,48879024.0,127372640.6,258087647.0,11.474626137376,49.352474665322,0.5517,24572303400.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000048,京基智农,2026-06-10,2家机构买入，成功率39.91%,17.83,9.9938,72061990.79,165286843.8,93224853.01,258511696.81,984574576.0,7.319099288828,26.256182427567,5.5979,9437468032.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
5,000509,华塑控股,2026-06-10,4家机构卖出，成功率15.95%,4.32,-10.0,-92993171.0,55998945.0,148992116.0,204991061.0,709367289.0,-13.10931198013,28.897732412919,14.8017,4635899170.56,日振幅值达到15%的前5只证券,,,,
6,000509,华塑控股,2026-06-10,4家机构卖出，成功率15.95%,4.32,-10.0,-92993171.0,55998945.0,148992116.0,204991061.0,709367289.0,-13.10931198013,28.897732412919,14.8017,4635899170.56,日跌幅偏离值达到7%的前5只证券,,,,
9,000534,万泽股份,2026-06-10,4家机构卖出，成功率17.61%,28.74,-9.9906,-55620742.35,161050915.27,216671657.62,377722572.89,902649900.0,-6.161939678939,41.845966292136,6.1598,14396168948.34,日跌幅偏离值达到7%的前5只证券,,,,
10,000608,阳光股份,2026-06-10,4家机构买入，成功率35.13%,6.94,8.4375,54122891.42,282934326.4,228811434.98,511745761.38,1938844992.0,2.791501726199,26.39436177165,16.0517,5173267259.46,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
11,000608,阳光股份,2026-06-10,4家机构买入，成功率29.66%,6.94,8.4375,12231454.4,117778246.4,105546792.0,223325038.4,818555078.0,1.494273840422,27.282835865567,16.0517,5173267259.46,日振幅值达到15%的前5只证券,,,,
15,000833,粤桂股份,2026-06-10,2家机构买入，成功率8.78%,25.54,4.1174,-75509666.81,432661765.91,508171432.72,940833198.63,4364815451.0,-1.72996241554,21.554936495985,15.2569,11587549744.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
16,000970,中科三环,2026-06-10,买一主买，成功率51.62%,14.52,10.0,313927110.97,551570943.16,237643832.19,789214775.35,2386518959.0,13.154184666588,33.069704825672,14.1341,17652338223.96,日涨幅偏离值达到7%的前5只证券,,,,
21,002015,协鑫能科,2026-06-10,2家机构卖出，成功率18.12%,18.48,-9.9854,-120139013.29,155442181.85,275581195.14,431023376.99,2204820746.0,-5.448924295,19.54913467555,7.1412,29999038866.72,日跌幅偏离值达到7%的前5只证券,,,,
23,002137,实益达,2026-06-10,3家机构卖出，成功率29.32%,10.7,-0.8341,-87290613.22,139671434.1,226962047.32,366633481.42,1553122655.0,-5.620329659025,23.606215532282,35.148,4242101466.7,日换手率达到20%的前5只证券,,,,
27,002354,天娱数科,2026-06-10,1家机构买入，成功率46.56%,8.87,10.0496,48124042.16,675384818.04,627260775.88,1302645593.92,6782444660.0,0.709538294412,19.206136713543,21.1512,14419903819.73,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
28,002354,天娱数科,2026-06-10,1家机构买入，成功率45.97%,8.87,10.0496,144529699.74,405495069.84,260965370.1,666460439.94,2992898225.0,4.829088357657,22.268062253938,21.1512,14419903819.73,日涨幅偏离值达到7%的前5只证券,,,,
30,002361,神剑股份,2026-06-10,主力做T，成功率33.18%,19.1,7.6056,-265501609.49,534770861.41,800272470.9,1335043332.31,6470603016.0,-4.103197319222,20.632440732476,43.4865,15452262689.9,日换手率达到20%的前5只证券,,,,
33,002409,雅克科技,2026-06-10,2家机构买入，成功率36.28%,122.55,9.9991,207701658.91,509083941.51,301382282.6,810466224.11,3919264514.0,5.299506021297,20.679038661844,10.5031,39034962644.85,日涨幅偏离值达到7%的前5只证券,,,,
34,002421,达实智能,2026-06-10,3家机构卖出，成功率25.77%,5.43,-4.7368,-385731859.91,379539909.82,765271769.73,1144811679.55,4146005646.0,-9.303698374896,27.612400399273,37.1454,10878338119.98,日换手率达到20%的前5只证券,,,,
39,002585,双星新材,2026-06-10,1家机构买入，成功率45.35%,13.42,10.0,152094474.76,555565525.23,403471050.47,959036575.7,3735757178.0,4.071315867522,25.671812433308,18.8623,11900275370.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
40,002585,双星新材,2026-06-10,1家机构买入，成功率50.73%,13.42,10.0,68184504.19,336816418.19,268631914.0,605448332.19,2232282713.0,3.054474408323,27.122385917523,18.8623,11900275370.28,日涨幅偏离值达到7%的前5只证券,,,,
42,002636,金安国纪,2026-06-10,2家机构买入，成功率44.48%,77.42,10.0028,-91063489.0400001,502068058.15,593131547.19,1095199605.34,2953090917.0,-3.083666964528,37.086552230251,5.3045,56076499584.14,日涨幅偏离值达到7%的前5只证券,,,,
43,002636,金安国纪,2026-06-10,2家机构买入，成功率42.00%,77.42,10.0028,47335903.9599999,702700974.15,655365070.19,1358066044.34,3959265352.0,1.195572909406,34.300960496471,5.3045,56076499584.14,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
44,002669,康达新材,2026-06-10,主力做T，成功率25.68%,19.13,10.0058,7551918.12000001,245456348.0,237904429.88,483360777.88,1760768204.0,0.428899051155,27.451698456499,25.6189,5790991514.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
45,002669,康达新材,2026-06-10,2家机构买入，成功率35.97%,19.13,10.0058,-82554378.38,148860860.0,231415238.38,380276098.38,1423002234.0,-5.801422963894,26.723506772794,25.6189,5790991514.0,日换手率达到20%的前5只证券,,,,
46,002733,雄韬股份,2026-06-10,2家机构卖出，成功率44.55%,32.06,-9.9944,33823392.63,193449142.82,159625750.19,353074893.01,1008535916.0,3.353712256887,35.008658334187,8.1873,11825740053.54,日跌幅偏离值达到7%的前5只证券,,,,
47,002735,王子新材,2026-06-10,2家机构买入，成功率66.58%,18.92,4.9362,106583430.95,253060592.35,146477161.4,399537753.75,1635429342.0,6.517152909808,24.430144640881,31.6599,5393322731.72,日换手率达到20%的前5只证券,,,,
48,002735,王子新材,2026-06-10,2家机构买入，成功率66.58%,18.92,4.9362,106583430.95,253060592.35,146477161.4,399537753.75,1635429342.0,6.517152909808,24.430144640881,31.6599,5393322731.72,日振幅值达到15%的前5只证券,,,,
50,002851,麦格米特,2026-06-10,2家机构卖出，成功率7.69%,145.61,-10.0006,-414912953.69,540676564.82,955589518.51,1496266083.33,6076103879.0,-6.828602044215,24.625419728279,8.9433,66726060760.71,日跌幅偏离值达到7%的前5只证券,,,,
53,002971,和远气体,2026-06-10,普通席位买入，成功率43.21%,47.95,10.0023,92823440.92,290854261.1,198030820.18,488885081.28,1779142137.0,5.217314512966,27.478697239129,4.7533,7499444732.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
54,003026,中晶科技,2026-06-10,3家机构买入，成功率50.15%,36.14,10.0152,51901943.81,124881641.38,72979697.57,197861338.95,749507803.0,6.924803664786,26.398836430793,8.3408,5224430167.06,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
55,003043,华亚智能,2026-06-10,2家机构买入，成功率41.30%,80.62,10.0014,37000269.76,360415633.31,323415363.55,683830996.86,1498525124.0,2.469112407087,45.633602393976,16.6214,6759099535.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
