序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,国新证券股份有限公司北京分公司,43691536.0,0.080544776052,0.0,0.0,43691536.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
2,国新证券股份有限公司北京中关村大街证券营业部,23782977.0,0.04384360752,0.0,0.0,23782977.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
3,机构专用,21165665.0,0.039018627027,11548208.0,0.021288970641,9617457.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
4,机构专用,15140747.0,0.027911769373,7971156.0,0.014694721991,7169591.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
5,机构专用,11557619.04,0.02130631977,8238963.0,0.015188420699,3318656.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
1,华西证券股份有限公司成都高升桥路证券营业部,21747.0,4.0090311e-05,22567054.0,0.041602069348,-22545307.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
2,招商证券股份有限公司北京车公庄西路证券营业部,625128.0,0.001152415305,16818144.0,0.031004028837,-16193016.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
3,机构专用,21165665.0,0.039018627027,11548208.0,0.021288970641,9617457.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
4,中信建投证券股份有限公司杭州庆春路证券营业部,10595062.0,0.019531858437,11399851.68,0.021015477703,-804789.68,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
5,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,1597054.0,0.002944148193,8709716.0,0.016056247707,-7112662.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000068,华控赛格
1,国新证券股份有限公司北京中关村大街证券营业部,24395388.0,0.098870564728,769818.0,0.003119947934,23625570.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
2,国新证券股份有限公司北京分公司,13891926.0,0.056301730834,0.0,0.0,13891926.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
3,深股通专用,7652598.0,0.031014742864,7744193.0,0.031385962595,-91595.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
4,华鑫证券有限责任公司绍兴胜利东路证券营业部,7182772.0,0.029110614021,318955.0,0.001292673065,6863817.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
5,国信证券股份有限公司厦门湖滨北路证券营业部,5944237.0,0.02409103184,5968810.0,0.024190622238,-24573.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
1,深股通专用,7652598.0,0.031014742864,7744193.0,0.031385962595,-91595.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
2,机构专用,0.0,0.0,6109772.0,0.024761918441,-6109772.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
3,国信证券股份有限公司厦门湖滨北路证券营业部,5944237.0,0.02409103184,5968810.0,0.024190622238,-24573.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
4,东方财富证券股份有限公司山南香曲东路证券营业部,446613.0,0.001810050306,5694257.0,0.023077903303,-5247644.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
5,机构专用,3546672.0,0.014374088395,4745543.0,0.019232918794,-1198871.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000517,荣安地产
1,机构专用,9234628.75,0.048397779887,4170183.0,0.021855518439,5064445.75,日振幅值达到15%的前5只证券,000668,荣丰控股
2,平安证券股份有限公司济南解放路证券营业部,8536963.0,0.044741382395,89365.0,0.000468353165,8447598.0,日振幅值达到15%的前5只证券,000668,荣丰控股
3,机构专用,6480983.0,0.03396619368,5827561.0,0.030541673325,653422.0,日振幅值达到15%的前5只证券,000668,荣丰控股
4,国泰海通证券股份有限公司杭州延安路证券营业部,5786825.0,0.03032817996,0.0,0.0,5786825.0,日振幅值达到15%的前5只证券,000668,荣丰控股
5,机构专用,3490381.0,0.018292743101,3197990.0,0.016760350664,292391.0,日振幅值达到15%的前5只证券,000668,荣丰控股
6,机构专用,14501537.0,0.047579556867,14954480.0,0.049065663286,-452943.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000668,荣丰控股
7,机构专用,11528668.0,0.037825570814,7174374.0,0.023539128005,4354294.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,000668,荣丰控股
8,机构专用,11103030.75,0.036429054586,5034205.0,0.016517231455,6068825.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,000668,荣丰控股
