序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
2,国泰海通证券股份有限公司总部,47894842.93,0.059181932282,,,47894842.93,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
3,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,43969817.51,0.054331919746,,,43969817.51,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
4,华泰证券股份有限公司总部,41191670.48,0.050899063527,,,41191670.48,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
5,瑞银证券有限责任公司上海花园石桥路证券营业部,23400338.43,0.02891495534,,,23400338.43,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
1,中信证券股份有限公司上海分公司,,,40978583.06,0.050635759078,-40978583.06,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
2,国泰海通证券股份有限公司总部,,,20477531.33,0.025303347883,-20477531.33,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
3,机构专用,,,20009349.94,0.024724833003,-20009349.94,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
4,招商证券股份有限公司漳州台商投资区证券营业部,,,18554021.68,0.022926536292,-18554021.68,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
5,华泰证券股份有限公司总部,,,15426098.13,0.019061473826,-15426098.13,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688655,迅捷兴
1,沪股通专用,167359377.81,0.121630804955,,,167359377.81,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
2,国信证券股份有限公司杭州向往街证券营业部,55978845.1,0.040683420786,,,55978845.1,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
3,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,46696292.34,0.033937193721,,,46696292.34,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
4,东方证券股份有限公司成都万象南路证券营业部,32950890.0,0.023947527334,,,32950890.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
5,申万宏源证券有限公司上海闵行区东川路证券营业部,30739227.68,0.022340170329,,,30739227.68,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
1,沪股通专用,,,125613391.16,0.091291316207,-125613391.16,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
2,机构专用,,,57816183.07,0.042018732253,-57816183.07,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
3,中信证券股份有限公司上海分公司,,,53774659.54,0.039081497623,-53774659.54,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
4,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,,,28974042.98,0.021057297276,-28974042.98,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
5,华泰证券股份有限公司上海浦东新区滨江大道证券营业部,,,26297158.7,0.019111833604,-26297158.7,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,688661,和林微纳
1,国信证券股份有限公司深圳互联网分公司,8165015.55,0.020004266793,807181.04,0.001977591442,7357834.51,当日换手率达到20%的前5只股票,920088,科力股份
2,机构专用,8011296.36,0.019627655179,2208953.2,0.005411929576,5802343.16,当日换手率达到20%的前5只股票,920088,科力股份
3,国信证券股份有限公司深圳红岭中路证券营业部,7652189.96,0.018747845436,1328766.62,0.003255474752,6323423.34,当日换手率达到20%的前5只股票,920088,科力股份
4,国金证券股份有限公司深圳分公司,7327227.77,0.017951688918,1051178.9,0.002575385562,6276048.87,当日换手率达到20%的前5只股票,920088,科力股份
5,中信建投证券股份有限公司北京东城分公司,5761519.53,0.014115707815,1224205.34,0.002999299889,4537314.19,当日换手率达到20%的前5只股票,920088,科力股份
6,国信证券股份有限公司深圳互联网分公司,8165015.55,0.020004266793,807181.04,0.001977591442,7357834.51,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
7,机构专用,8011296.36,0.019627655179,2208953.2,0.005411929576,5802343.16,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
8,国信证券股份有限公司深圳红岭中路证券营业部,7652189.96,0.018747845436,1328766.62,0.003255474752,6323423.34,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
9,国金证券股份有限公司深圳分公司,7327227.77,0.017951688918,1051178.9,0.002575385562,6276048.87,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
10,中信建投证券股份有限公司北京东城分公司,5761519.53,0.014115707815,1224205.34,0.002999299889,4537314.19,当日收盘价涨幅达到20%的前5只股票,920088,科力股份
