序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,深股通专用,59860850.69,0.025723108067,147989177.34,0.063593175799,-88128326.65,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
2,机构专用,36136212.97,0.015528274334,85167994.0,0.036597968259,-49031781.03,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
3,机构专用,36028667.0,0.015482060212,59459459.17,0.025550624092,-23430792.17,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
4,东方财富证券股份有限公司拉萨团结路第二证券营业部,19650272.0,0.00844401749,11638723.0,0.005001334362,8011549.0,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
5,国信证券股份有限公司浙江互联网分公司,17809692.27,0.007653092691,10226156.0,0.004394333072,7583536.27,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
1,深股通专用,59860850.69,0.025723108067,147989177.34,0.063593175799,-88128326.65,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
2,机构专用,36136212.97,0.015528274334,85167994.0,0.036597968259,-49031781.03,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
3,机构专用,36028667.0,0.015482060212,59459459.17,0.025550624092,-23430792.17,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
4,中国银河证券股份有限公司莆田幸福路证券营业部,971593.0,0.000417508128,44535362.0,0.019137515025,-43563769.0,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
5,机构专用,13637792.0,0.005860364384,36449333.7,0.015662827022,-22811541.7,日跌幅偏离值达到7%的前5只证券,000582,北部湾港
1,深股通专用,506421958.11,0.067831218302,553014553.28,0.074071928136,-46592595.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,000700,模塑科技
2,机构专用,178919190.4,0.023964811296,95439779.58,0.012783404076,83479410.82,连续三个交易日内，涨幅偏离值累计达到20%的证券,000700,模塑科技
