序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000068,华控赛格,2026-06-08,3家机构买入，成功率49.56%,3.92,10.1124,40924442.36,128177535.04,87253092.68,215430627.72,542450276,7.54436750623,39.714354891397,5.8412,3946152138.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.31632653,,,
2,000517,荣安地产,2026-06-08,买一主买，成功率39.06%,2.33,9.9057,31708858.0,63060206.0,31351348.0,94411554.0,246740656,12.851087661857,38.26347693588,2.3784,5806328349.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.87124464,,,
3,000668,荣丰控股,2026-06-08,3家机构买入，成功率29.98%,22.08,7.2365,-4519572.25,33533858.75,38053431.0,71587289.75,190806867,-2.368663309167,37.518193593106,6.1883,3242268931.2,日振幅值达到15%的前5只证券,-9.64673913,,,
4,000668,荣丰控股,2026-06-08,3家机构买入，成功率27.39%,22.08,7.2365,209247.469999999,55302226.75,55092979.28,110395206.03,304785037,0.068654115064,36.220677732943,6.1883,3242268931.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.64673913,,,
5,000759,中百集团,2026-06-08,1家机构买入，成功率32.83%,6.27,10.0,39505291.5,197647749.0,158142457.5,355790206.5,1004022176,3.934703081698,35.436488855003,16.1423,4111276776.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.98724083,,,
6,000785,居然智家,2026-06-08,主力做T，成功率45.42%,2.72,10.1215,51732339.84,168265072.6,116532732.76,284797805.36,1192122129,4.33951678117,23.889985634182,4.8984,15788190719.04,连续三个交易日内，涨幅偏离值累计达到20%的证券,-8.45588235,,,
7,000821,ST京机,2026-06-08,3家机构买入，成功率15.50%,9.75,1.9874,-16887720.59,50792801.14,67680521.73,118473322.87,594406825,-2.841104758513,19.931353054366,3.2575,5895344949.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-0.51282051,,,
8,001400,江顺科技,2026-06-08,5家机构买入，成功率14.80%,123.81,6.5307,-86455385.32,113068196.49,199523581.81,312591778.3,1017861765,-8.493823846502,30.710631742808,13.1878,5723922015.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.97536548,,,
9,002046,国机精工,2026-06-08,2家机构买入，成功率41.37%,60.37,10.0036,400158480.87,647206845.29,247048364.42,894255209.71,2530874854,15.811073401656,35.333837558054,8.1588,32006844592.23,日振幅值达到15%的前5只证券,7.71906576,,,
10,002046,国机精工,2026-06-08,2家机构买入，成功率41.37%,60.37,10.0036,400158480.87,647206845.29,247048364.42,894255209.71,2530874854,15.811073401656,35.333837558054,8.1588,32006844592.23,日涨幅偏离值达到7%的前5只证券,7.71906576,,,
11,002138,顺络电子,2026-06-08,4家机构买入，成功率14.80%,55.66,0.0899,-620477271.87,2235406505.59,2855883777.46,5091290283.05,14363375700,-4.31985686951,35.446335105264,16.7995,42106775918.02,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.00718649,,,
12,002164,宁波东力,2026-06-08,2家机构买入，成功率30.48%,14.66,9.9775,152804018.52,232420760.42,79616741.9,312037502.32,1341048882,11.394366049664,23.268167664003,11.3922,7033503596.38,连续三个交易日内，涨幅偏离值累计达到20%的证券,-0.88676671,,,
13,002254,泰和新材,2026-06-08,1家机构买入，成功率48.31%,17.08,9.9807,212803376.47,448321613.23,235518236.76,683839849.99,2410479159,8.828260376177,28.369457061545,8.1065,14529035524.64,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0117096,,,
14,002329,皇氏集团,2026-06-08,3家机构卖出，成功率40.27%,3.36,-5.618,-2765444.16,79747656.68,82513100.84,162260757.52,336736463,-0.82124879954,48.186274831781,14.7919,2189352224.64,日振幅值达到15%的前5只证券,0.0,,,
15,002354,天娱数科,2026-06-08,买一主买，成功率56.61%,7.33,10.0601,176943024.72,270576422.4,93633397.68,364209820.08,1630130762,10.854529516571,22.342368389708,6.7838,11916335400.07,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.95907231,,,
16,002361,神剑股份,2026-06-08,2家机构买入，成功率31.09%,18.49,9.9941,162909394.66,994357103.26,831447708.6,1825804811.86,7245234662,2.24850404797,25.200078355447,32.6403,14958761106.61,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.00216333,,,
17,002361,神剑股份,2026-06-08,2家机构买入，成功率17.26%,18.49,9.9941,-45659786.7,527364829.16,573024615.86,1100389445.02,4823312810,-0.946647843477,22.813976376125,32.6403,14958761106.61,日换手率达到20%的前5只证券,-4.00216333,,,
18,002361,神剑股份,2026-06-08,2家机构买入，成功率17.26%,18.49,9.9941,-45659786.7,527364829.16,573024615.86,1100389445.02,4823312810,-0.946647843477,22.813976376125,32.6403,14958761106.61,日涨幅偏离值达到7%的前5只证券,-4.00216333,,,
19,002421,达实智能,2026-06-08,2家机构买入，成功率43.41%,5.73,9.9808,8977091.31,268024981.59,259047890.28,527072871.87,2704439842,0.331939027468,19.489169760205,24.3451,11479351275.78,日涨幅偏离值达到7%的前5只证券,-0.52356021,,,
20,002421,达实智能,2026-06-08,2家机构买入，成功率47.63%,5.73,9.9808,106501246.46,828314023.68,721812777.22,1550126800.9,6708199852,1.587627810884,23.107940059923,24.3451,11479351275.78,连续三个交易日内，涨幅偏离值累计达到20%的证券,-0.52356021,,,
21,002421,达实智能,2026-06-08,2家机构买入，成功率43.41%,5.73,9.9808,8977091.31,268024981.59,259047890.28,527072871.87,2704439842,0.331939027468,19.489169760205,24.3451,11479351275.78,日换手率达到20%的前5只证券,-0.52356021,,,
22,002471,中超控股,2026-06-08,主力做T，成功率2.09%,8.1,1.8868,5689412.01999998,309790756.06,304101344.04,613892100.1,3131464987,0.181685314817,19.603990549105,16.1888,10882438897.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.07407407,,,
23,002491,通鼎互联,2026-06-08,3家机构买入，成功率36.20%,25.1,1.1281,295151742.63,1178367574.27,883215831.64,2061583405.91,6203215946,4.758043975888,33.234106693309,21.1662,29529368662.1,日振幅值达到15%的前5只证券,5.97609562,,,
24,002552,宝鼎科技,2026-06-08,4家机构买入，成功率41.74%,60.66,4.0123,144591194.0,445983231.0,301392037.0,747375268.0,1749654247,8.263986684679,42.715597626301,7.8495,22353409510.74,日振幅值达到15%的前5只证券,7.08869106,,,
25,002585,双星新材,2026-06-08,3家机构卖出，成功率13.72%,11.09,-6.176,-105647426.22,271578054.9,377225481.12,648803536.02,2590181951,-4.078764666676,25.048569880178,25.2376,9834132180.06,日换手率达到20%的前5只证券,10.00901713,,,
26,002613,北玻股份,2026-06-08,买一主买，成功率53.12%,5.46,10.0806,259971566.77,355319831.77,95348265.0,450668096.77,909680727,28.578330732294,49.541348232829,7.8217,4224248661.36,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.94505495,,,
27,002631,德尔未来,2026-06-08,3家机构买入，成功率18.51%,8.04,7.9195,-13380978.24,93574308.0,106955286.24,200529594.24,855229737,-1.564606287772,23.447453422682,8.756,6380321710.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.24378109,,,
28,002636,金安国纪,2026-06-08,4家机构买入，成功率44.70%,63.98,10.0069,877261858.56,1592905124.62,715643266.06,2308548390.68,7637295701,11.4865509063,30.227301404314,5.5399,46341700379.66,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.00312598,,,
29,002636,金安国纪,2026-06-08,1家机构买入，成功率50.27%,63.98,10.0069,149174471.69,433038903.44,283864431.75,716903335.19,2462714910,6.0573179252,29.110285249786,5.5399,46341700379.66,日涨幅偏离值达到7%的前5只证券,10.00312598,,,
30,002717,*ST岭南,2026-06-08,西藏自治区资金买入，成功率22.56%,1.17,5.4054,6148302.2,33054435.1,26906132.9,59960568.0,405119019,1.517653309681,14.800728967997,11.7259,2010708140.22,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.85470085,,,
31,002735,王子新材,2026-06-08,1家机构买入，成功率27.78%,18.59,3.1059,-56087335.84,192295852.76,248383188.6,440679041.36,1522999829,-3.682688255903,28.934937021585,28.8856,5299253149.19,日换手率达到20%的前5只证券,-3.01237224,,,
32,002747,埃斯顿,2026-06-08,3家机构买入，成功率35.95%,34.12,9.9936,-12936165.58,454902896.1,467839061.68,922741957.78,3679820423,-0.351543393236,25.075733370373,14.4292,26695645907.36,日涨幅偏离值达到7%的前5只证券,9.99413834,,,
33,002747,埃斯顿,2026-06-08,3家机构买入，成功率11.84%,34.12,9.9936,-144858017.38,818894366.69,963752384.07,1782646750.76,6576329557,-2.202718341963,27.107016692351,14.4292,26695645907.36,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99413834,,,
34,002856,*ST美芝,2026-06-08,2家机构买入，成功率36.87%,26.99,5.0195,1221186.2,70032326.0,68811139.8,138843465.8,432592528,0.282294797288,32.095668975586,7.545,3344180916.57,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-5.00185254,,,
35,002896,中大力德,2026-06-08,西藏自治区资金买入，成功率23.38%,95.2,9.7153,-152399444.85,352700481.79,505099926.64,857800408.43,3897644175,-3.910039962794,22.00817647573,21.8571,18708958184.0,日换手率达到20%的前5只证券,-4.73739496,,,
36,002896,中大力德,2026-06-08,2家机构买入，成功率23.97%,95.2,9.7153,115910206.99,724540575.26,608630368.27,1333170943.53,6249078533,1.854836779181,21.333880451171,21.8571,18708958184.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.73739496,,,
37,002931,锋龙股份,2026-06-08,4家机构买入，成功率44.97%,65.6,9.9933,76910744.82,486128072.9,409217328.08,895345400.98,3225350812,2.384569905818,27.759628430149,9.7038,13202231436.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,4.77134146,,,
38,002971,和远气体,2026-06-08,4家机构买入，成功率21.01%,39.63,0.8397,-73986467.48,303830024.12,377816491.6,681646515.72,2726750458,-2.713356745313,24.998492756098,17.075,6198185500.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.99242998,,,
39,003009,中天火箭,2026-06-08,3家机构买入，成功率38.56%,60.94,10.0,38382484.03,167270418.46,128887934.43,296158352.89,1176652976,3.262005435152,25.169557969146,8.5896,10036044244.82,连续三个交易日内，涨幅偏离值累计达到20%的证券,-2.97013456,,,
40,300162,雷曼光电,2026-06-08,5家机构买入，成功率26.65%,10.82,2.8517,-64645435.06,141829466.94,206474902.0,348304368.94,1219213671,-5.30222360507,28.567951395617,32.463,3702190459.6,日换手率达到30%的前5只证券,1.38632163,,,
41,300197,节能铁汉,2026-06-08,3家机构买入，成功率25.64%,3.02,19.8413,-91618142.72,215468121.89,307086264.61,522554386.5,1947283868,-4.704919720518,26.835039055539,22.6807,8954973701.6,日涨幅达到15%的前5只证券,-2.64900662,,,
42,300322,硕贝德,2026-06-08,2家机构卖出，成功率6.12%,28.61,-15.2296,-222308170.07,285914338.0,508222508.07,794136846.07,2099672870,-10.587752656441,37.821932045538,15.6469,12600724129.43,日跌幅达到15%的前5只证券,3.98462076,,,
43,300334,津膜科技,2026-06-08,3家机构买入，成功率14.80%,9.94,10.3219,27932241.08,158878594.6,130946353.52,289824948.12,966918742,2.888788878187,29.974074917663,22.402,3002175824.34,连续三个交易日内，涨幅偏离值累计达到30%的证券,4.12474849,,,
44,300376,易事特,2026-06-08,2家机构买入，成功率35.74%,5.94,20.0,94805611.58,158641937.58,63836326.0,222478263.58,397116150,23.873522036311,56.023474134709,3.2331,13824963311.94,日涨幅达到15%的前5只证券,1.01010101,,,
45,300737,科顺股份,2026-06-08,4家机构卖出，成功率24.58%,7.11,-20.0225,-28325333.93,154302381.42,182627715.35,336930096.77,1099078453,-2.577189449278,30.655691215703,16.1425,6305806428.66,日跌幅达到15%的前5只证券,-7.87623066,,,
46,301139,*ST元道,2026-06-08,2家机构买入，成功率43.24%,6.06,12.0148,6729397.32,16779778.32,10050381.0,26830159.32,161610409,4.163962805143,16.601752007199,36.2411,461572916.88,日换手率达到30%的前5只证券,-2.47524752,,,
47,301151,冠龙节能,2026-06-08,5家机构买入，成功率44.41%,19.68,8.0132,66191613.38,137878729.41,71687116.03,209565845.44,511627006,12.937474488984,40.960669195011,10.2395,3322846082.4,连续三个交易日内，涨幅偏离值累计达到30%的证券,0.20325203,,,
48,301195,北路智控,2026-06-08,3家机构买入，成功率45.49%,33.13,19.9928,42677606.2,75609505.3,32931899.1,108541404.4,260063256,16.410471381624,41.736539820912,9.3207,2905164001.64,日涨幅达到15%的前5只证券,3.98430426,,,
49,301302,华如科技,2026-06-08,4家机构买入，成功率47.21%,30.12,20.0,64667574.38,109825536.98,45157962.6,154983499.58,461407405,14.015287504976,33.589296118904,11.6451,4186378800.0,日涨幅达到15%的前5只证券,1.22841965,,,
50,301313,凡拓数创,2026-06-08,2家机构买入，成功率44.77%,59.0,19.9919,-269448742.26,174744962.12,444193704.38,618938666.5,1665368130,-16.179530363656,37.165276274381,36.8733,4634657385.0,日涨幅达到15%的前5只证券,9.54237288,,,
51,301313,凡拓数创,2026-06-08,2家机构买入，成功率44.77%,59.0,19.9919,-269448742.26,174744962.12,444193704.38,618938666.5,1665368130,-16.179530363656,37.165276274381,36.8733,4634657385.0,日换手率达到30%的前5只证券,9.54237288,,,
52,301313,凡拓数创,2026-06-08,2家机构买入，成功率44.63%,59.0,19.9919,-283301188.0,198559632.0,481860820.0,680420452.0,2570303096,-11.022092625608,26.472381917094,36.8733,4634657385.0,连续三个交易日内，涨幅偏离值累计达到30%的证券,9.54237288,,,
53,301319,唯特偶,2026-06-08,4家机构买入，成功率48.12%,143.49,19.8046,277413794.73,1076391283.87,798977489.14,1875368773.01,6928509632,4.003946150969,27.067419583981,13.628,19644294550.71,连续三个交易日内，涨幅偏离值累计达到30%的证券,3.14307617,,,
54,301418,协昌科技,2026-06-08,3家机构卖出，成功率11.84%,45.58,-3.941,-29216239.36,45125280.7,74341520.06,119466800.76,489191789,-5.972348681429,24.421260423077,35.219,1341708103.72,日换手率达到30%的前5只证券,6.86704695,,,
55,600162,香江控股,2026-06-08,普通席位买入，成功率35.28%,3.7,7.5581,-5797352.44999999,147500892.18,153298244.63,300799136.81,1482671578,-0.391007188377,20.287644362601,13.2385,12093221051.4,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-1.08108108,,,
56,600187,*ST国中,2026-06-08,西藏自治区资金买入，成功率29.04%,1.69,4.9689,6139759.0,41860041.0,35720282.0,77580323.0,583524866,1.052184638178,13.295118600824,4.8389,2727290064.07,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券,4.73372781,,,
