序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型,代码,名称
1,华林证券股份有限公司淮安淮海东路证券营业部,7279942.0,0.032165353929,0.0,0.0,7279942.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
2,中信建投证券股份有限公司上海营口路证券营业部,5773769.0,0.025510549863,7992239.0,0.03531253355,-2218470.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
3,东方财富证券股份有限公司拉萨团结路第二证券营业部,3961655.0,0.017503990447,5657058.0,0.02499487946,-1695403.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
4,机构专用,3872027.0,0.0171079823,3789678.41,0.016744137156,82348.59,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
5,东兴证券股份有限公司惠安建设南路证券营业部,3846597.0,0.016995623582,2564895.0,0.011332611642,1281702.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
1,中信建投证券股份有限公司上海营口路证券营业部,5773769.0,0.025510549863,7992239.0,0.03531253355,-2218470.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
2,东方财富证券股份有限公司拉萨团结路第二证券营业部,3961655.0,0.017503990447,5657058.0,0.02499487946,-1695403.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
3,机构专用,3872027.0,0.0171079823,3789678.41,0.016744137156,82348.59,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
4,联储证券股份有限公司陕西分公司,1558773.0,0.006887209437,3155917.0,0.013943955498,-1597144.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
5,东方财富证券股份有限公司昌都两江大道证券营业部,1203232.0,0.005316303775,3051296.0,0.013481702984,-1848064.0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,000010,*ST美丽
1,华泰证券股份有限公司张家港金港镇长江中路证券营业部,9224298.0,0.040320466365,1054559.75,0.004609601829,8169738.25,日跌幅偏离值达到7%的前5只证券,000411,英特集团
2,深股通专用,6943506.0,0.030350862486,7807955.68,0.034129471357,-864449.68,日跌幅偏离值达到7%的前5只证券,000411,英特集团
3,东方证券股份有限公司上海浦东新区北门大街证券营业部,4302685.0,0.018807530483,1003721.0,0.004387379811,3298964.0,日跌幅偏离值达到7%的前5只证券,000411,英特集团
4,华泰证券股份有限公司张家港杨舍东街证券营业部,4249263.98,0.018574021067,1211238.0,0.005294460461,3038025.98,日跌幅偏离值达到7%的前5只证券,000411,英特集团
5,中信证券股份有限公司上海浦东新区东方路证券营业部,3717004.0,0.016247451542,164424.0,0.000718716195,3552580.0,日跌幅偏离值达到7%的前5只证券,000411,英特集团
1,山西证券股份有限公司晋城黄华街证券营业部,0.0,0.0,24668465.2,0.107828695623,-24668465.2,日跌幅偏离值达到7%的前5只证券,000411,英特集团
2,中国银河证券股份有限公司北京安贞门证券营业部,246299.0,0.001076601227,10571350.0,0.046208585424,-10325051.0,日跌幅偏离值达到7%的前5只证券,000411,英特集团
3,兴业证券股份有限公司北京曙光西里证券营业部,26685.0,0.000116643201,9891344.0,0.04323620107,-9864659.0,日跌幅偏离值达到7%的前5只证券,000411,英特集团
4,深股通专用,6943506.0,0.030350862486,7807955.68,0.034129471357,-864449.68,日跌幅偏离值达到7%的前5只证券,000411,英特集团
5,渤海证券股份有限公司湖南分公司,0.0,0.0,5275796.0,0.023061110468,-5275796.0,日跌幅偏离值达到7%的前5只证券,000411,英特集团
1,深股通专用,5441748.0,0.019372340011,9764910.24,0.034762572862,-4323162.24,日振幅值达到15%的前5只证券,000517,荣安地产
2,国泰海通证券股份有限公司深圳雅宝路证券营业部,4675993.0,0.016646292016,110147.0,0.000392117594,4565846.0,日振幅值达到15%的前5只证券,000517,荣安地产
3,东方财富证券股份有限公司拉萨金融城南环路证券营业部,3447128.0,0.012271596494,1509865.0,0.005375040915,1937263.0,日振幅值达到15%的前5只证券,000517,荣安地产
4,国金证券股份有限公司深圳分公司,2851526.0,0.010151284334,633085.0,0.002253749691,2218441.0,日振幅值达到15%的前5只证券,000517,荣安地产
